year,zip_code,retail_permits,retail_construction_cost,retail_permit_ratio,retail_cost_ratio,total_population,median_household_income,retail_space,retail_space_per_capita,retail_spending_potential,retail_gap,retail_opportunity_score,retail_space_change,retail_space_per_capita_change,retail_spending_potential_change,retail_gap_change,leakage_rate,leakage_per_capita,leakage_severity
2006,55362,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,55378,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,55403,1,2010.0,1.0,1.0,0.0,0.0,2000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,55413,1,100000.0,0.25,0.2976190476190476,0.0,0.0,2000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,55422,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,55438,1,350000.0,1.0,1.0,0.0,0.0,2000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60000,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60001,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60002,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60004,9,1448000.0,0.0348837209302325,0.1029559440046823,0.0,0.0,18000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60005,12,565310.0,0.1818181818181818,0.0267658247190705,0.0,0.0,24000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60006,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60007,5,1045000.0,0.0467289719626168,0.1437675263964745,0.0,0.0,10000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60008,4,325500.0,0.0136054421768707,0.2919714576596536,0.0,0.0,8000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60010,12,3698000.0,0.0769230769230769,0.1413074122501222,0.0,0.0,24000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60012,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60013,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
