year,zip_code,residential_permits,residential_construction_cost,residential_permit_ratio,residential_cost_ratio,total_population,median_household_income,housing_units,housing_density,housing_value_per_unit,housing_units_change,housing_density_change,housing_value_per_unit_change
2006,60083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60084,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60085,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60089,18,1442000.0,0.5142857142857142,0.6952171758176274,0.0,0.0,27.0,0.0,53407.40740740741,0.0,0.0,0.0
2006,60090,1,100000.0,0.0128205128205128,0.0107412312398609,0.0,0.0,1.5,0.0,66666.66666666667,0.0,0.0,0.0
2006,60091,13,10041310.0,0.2888888888888888,0.6835193468259059,0.0,0.0,19.5,0.0,514938.9743589744,0.0,0.0,0.0
2006,60092,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60093,3,5860000.0,0.2,0.5421340877076739,0.0,0.0,4.5,0.0,1302222.2222222222,0.0,0.0,0.0
2006,60096,1,15000.0,0.3333333333333333,0.0566037735849056,0.0,0.0,1.5,0.0,10000.0,0.0,0.0,0.0
2006,60098,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60099,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60101,1,148000.0,0.0030674846625766,0.0253419320106785,0.0,0.0,1.5,0.0,98666.66666666667,0.0,0.0,0.0
2006,60102,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60103,3,555500.0,0.1875,0.1056585829766999,0.0,0.0,4.5,0.0,123444.44444444444,0.0,0.0,0.0
2006,60104,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60106,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60107,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60108,3,1516000.0,0.1428571428571428,0.9280861773318012,0.0,0.0,4.5,0.0,336888.8888888889,0.0,0.0,0.0
2006,60109,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60110,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60115,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60118,1,13000.0,0.0144927536231884,0.0004387215653585,0.0,0.0,1.5,0.0,8666.666666666666,0.0,0.0,0.0
2006,60120,5,847000.0,0.1111111111111111,0.1010517253597835,0.0,0.0,7.5,0.0,112933.33333333333,0.0,0.0,0.0
2006,60123,1,400.0,0.0015151515151515,8.250825082508251e-05,0.0,0.0,1.5,0.0,266.6666666666667,0.0,0.0,0.0
2006,60124,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60126,6,1633650.0,0.0491803278688524,0.2884751290849168,0.0,0.0,9.0,0.0,181516.66666666666,0.0,0.0,0.0
2006,60130,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60131,1,6000.0,0.0188679245283018,0.0059834259102286,0.0,0.0,1.5,0.0,4000.0,0.0,0.0,0.0
2006,60133,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60134,1,26000.0,0.1,0.0079193493462577,0.0,0.0,1.5,0.0,17333.333333333332,0.0,0.0,0.0
2006,60136,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60137,1,500000.0,0.125,0.4248088360237892,0.0,0.0,1.5,0.0,333333.3333333333,0.0,0.0,0.0
2006,60139,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60142,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60143,17,508400.0,0.0798122065727699,0.0307121410941375,0.0,0.0,25.5,0.0,19937.254901960783,0.0,0.0,0.0
2006,60148,2,16000.0,0.003976143141153,0.0002351768034338,0.0,0.0,3.0,0.0,5333.333333333333,0.0,0.0,0.0
2006,60152,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60153,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60154,1,250000.0,0.0625,0.5936691125834105,0.0,0.0,1.5,0.0,166666.66666666666,0.0,0.0,0.0
2006,60155,1,142318.0,0.0217391304347826,0.0452981934258768,0.0,0.0,1.5,0.0,94878.66666666667,0.0,0.0,0.0
2006,60156,1,10000.0,0.1666666666666666,0.0182149362477231,0.0,0.0,1.5,0.0,6666.666666666667,0.0,0.0,0.0
2006,60157,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60158,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
