permit_,permit_type,reported_cost,issue_date,street_number,street_direction,street_name,contact_1_city,contact_1_state,work_description,contact_1_zipcode,community_area,ward,address,zip_code
100181107,PERMIT - EASY PERMIT PROCESS,800,2007-05-30T00:00:00.000,2952,W,39TH PL,CHICAGO,IL,"ERECT TWO - SIX FOOT HIGH WROUGHT IRON GATES, APROX. THREE AND FOUR FEET WIDE RESPECTIVELY. ALL WORK SUBJECT TO FIELD INSPECTION.",,,,"2952 W 39TH PL, CHICAGO, IL",
100181121,PERMIT - EASY PERMIT PROCESS,8000,2007-05-30T00:00:00.000,2134,W,54TH ST,CHICAGO,IL,"ERECT A DETACHED FRAME GARAGE, 22' X 20' X 13'6"", FOR REAR OF PROPERTY, ALLEY ACCESS, TWO - ONE SQ. FOOT ROOF VENTS. ALL WORK SUBJECT TO FIELD INSPECTION.",,,,"2134 W 54TH ST, CHICAGO, IL",
100181127,PERMIT - EASY PERMIT PROCESS,1000,2007-05-30T00:00:00.000,2134,W,54TH ST,CHICAGO,IL,"ERECT A SIX FOOT HIGH WROUGHT IRON AND WOOD FENCE, APROX. SIXTY THREE LINEAR FEET LONG; INSTALL TWO - SIX FOOT HIGH WROUGHT IRON AND WOOD GATES, EACH ONE THREE FEET SIX INCHES WIDE. ALL WORK SUBJECT TO FIELD INSPECTION.",,,,"2134 W 54TH ST, CHICAGO, IL",
100181165,PERMIT - EASY PERMIT PROCESS,8200,2007-05-30T00:00:00.000,3516,W,WRIGHTWOOD AVE,CHICAGO,IL,"ERECT A DETACHED FRAME GARAGE, 20' X 22', WITH TWO - ONE SQ. FOOT ROOF VENTS, ONE - 3'7""SERVICE DOOR, ONE - 8' HIGH X 16' WIDE OVERHEAD DOOR. ALL WORK SUBJECT TO FIELD INSPECTION.",,,,"3516 W WRIGHTWOOD AVE, CHICAGO, IL",
100181208,PERMIT - EASY PERMIT PROCESS,110580,2007-05-30T00:00:00.000,310,W,CHICAGO AVE,CHICAGO,IL,REMOVE AND REPLACE ROOFING MATERIAL. SAME AS EXISTING. NO STRUCTURAL WORK. MINOR TUCKPOINTING.,,,,"310 W CHICAGO AVE, CHICAGO, IL",
100181209,PERMIT - EASY PERMIT PROCESS,6800,2007-06-06T00:00:00.000,2873,S,FARRELL ST,CHICAGO,IL,"ERECT A DETACHED FRAME GARAGE, 20' X 22', WITH TWO - ONE SQ. FOOT ROOF VENTS, ALLEY ACCESS. ALL WORK SUBJECT TO FIELD INSPECTION.",,,,"2873 S FARRELL ST, CHICAGO, IL",
100181215,PERMIT - RENOVATION/ALTERATION,46000,2007-06-04T00:00:00.000,4336,S,INDIANA AVE,CHICAGO,IL,INTERIOR ALTERATIONS OF AN EXISTING 3-STORY TO 3 D.U. BUILDING,,,,"4336 S INDIANA AVE, CHICAGO, IL",
100181297,PERMIT - EASY PERMIT PROCESS,400,2007-05-31T00:00:00.000,21,E,GARFIELD BLVD,CHICAGO,IL,"PORCH REPAIRS TO ADDRESS VIOLATIONS: ADD THRU BOLTS FOR SIX BY SIX,RAISE RAILING HEIGHT TO 42"",REPLACE MISSING PICKETS, INSTALL BEAM TO COLUMN HARDWARE. ALL WORK SAME AS EXISTING.",,,,"21 E GARFIELD BLVD, CHICAGO, IL",
100181345,PERMIT - EASY PERMIT PROCESS,3000,2007-05-31T00:00:00.000,3148,W,WILSON AVE,CHICAGO,IL,"PORCH REPAIRS TO ADDRESS VIOLATIONS: RAISE RAILING HEIGHT TO 42"", ADD JOIST HANGERS AND LAG BOLTS, REPAIR PICKETS AS NEEDED, REPOINT WALL. ALL WORK SAME AS EXISTING.",,,,"3148 W WILSON AVE, CHICAGO, IL",
100181361,PERMIT - EASY PERMIT PROCESS,5000,2007-06-14T00:00:00.000,2013,W,WALTON ST,CHICAGO,IL,"ERECT A DETACHED MASONRY GARAGE, 21' X 22' X 15', WITH ALLEY ACCESS AND A FLAT ROOF.",,,,"2013 W WALTON ST, CHICAGO, IL",
100181552,PERMIT - EASY PERMIT PROCESS,2100,2007-06-01T00:00:00.000,227,E,51ST ST,CHICAGO,IL,"ERECT A SIX FOOT HIGH WROUGHT IRON FENCE, APROX. 100 LINEAR FEET LONG, PERMIT TO ADDRESS COURT ORDER TO SECURE THE PROPERTY. NO OTHER WORK ON THIS PERMIT. ALL WORK SUBJECT TO FIELD INSPECTION.",,,,"227 E 51ST ST, CHICAGO, IL",
100181690,PERMIT - RENOVATION/ALTERATION,17000,2007-06-27T00:00:00.000,10810,S,HOYNE AVE,CHICAGO,IL,"ERECT REAR/SIDE ONE STORY FRAME ADDITION (10'X13'6"") AND ONE STORY OPEN WOOD FRONT PORCH (3X10'), ADD 3'X6' DORMER AND REPLACE BOILER W/FURN IN BSMT TO ADDRESS VIOLATIONS. CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS.",,,,"10810 S HOYNE AVE, CHICAGO, IL",
100181893,PERMIT - EASY PERMIT PROCESS,4000,2007-06-04T00:00:00.000,1225,W,WINNEMAC AVE,,,GARAGE REPAIRS TO ADDRESS VIOLATIONS: REPLACE EXISTING ROOFING AND TRIM WORK. ALL WORK SAME AS EXISTING.,,,,"1225 W WINNEMAC AVE, CHICAGO, IL",
